odt,Proceso1,Proceso2,Proceso3,Proceso4,Proceso5,Proceso6,Fecha1,Fecha1F,Fecha2,Fecha2F,Fecha3,Fecha3F,Fecha4,Fecha4F,Fecha5,Fecha5F,Fecha6,Fecha6F
H4052,,,,,,,,,,,,,,,,,,
68280,Corte,Serigrafia,,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
K2706,,,,,,,,,,,,,,,,,,
D2366,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-11,2017-09-12,2017-09-12,2017-09-14,2017-09-14,2017-09-18,2017-09-18,2017-09-19,2017-09-19,2017-09-20,2017-09-20,2017-09-20
H4073,,,,,,,,,,,,,,,,,,
H4074V1,,,,,,,,,,,,,,,,,,
D2358,Corte,Suaje,Digital,Acabado,,,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-07,2017-09-07,2017-09-07,2017-09-07,2017-09-07
I3370,Corte,Suaje,Serigrafia,Acabado,,,2017-08-18,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-23,2017-08-23,2017-08-24,2017-08-24,2017-08-24,2017-08-24,2017-08-24
D2357,Corte,Digital,Acabado,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
H4059,Corte,Suaje,Serigrafia,Digital,Digital,,2017-09-07,2017-09-08,2017-09-08,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-15
H4061,Corte,Serigrafia,,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
J1062,Corte,Suaje,Serigrafia,Acabado,,,2017-08-16,2017-08-17,2017-08-17,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-23,2017-08-23,2017-08-23,2017-08-23,2017-08-23
J1069,,,,,,,,,,,,,,,,,,
H4119,,,,,,,,,,,,,,,,,,
68267,Corte,Suaje,Serigrafia,Hot Stamping,Grabado,Acabado,2017-09-07,2017-09-08,2017-09-08,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-19
J1066,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-18,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-23,2017-08-23,2017-08-24,2017-08-24,2017-08-28,2017-08-28,2017-08-28
B6020,,,,,,,,,,,,,,,,,,
B6021,,,,,,,,,,,,,,,,,,
B6022,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-24,2017-08-25,2017-08-25,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-08-31
G0904,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-21,2017-08-22,2017-08-22,2017-08-24,2017-08-24,2017-08-25,2017-08-25,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-29
J1068,Corte,Suaje,Serigrafia,Acabado,,,2017-08-24,2017-08-25,2017-08-25,2017-08-29,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31
68273,,,,,,,,,,,,,,,,,,
H4087,Corte,Serigrafia,,,,,2017-08-15,2017-08-16,2017-08-16,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17
H4088,Corte,Serigrafia,,,,,2017-08-15,2017-08-16,2017-08-16,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17,2017-08-17
H4070R,,,,,,,,,,,,,,,,,,
I3371,Corte,Suaje,Serigrafia,Digital,Hot Stamping,Acabado,2017-08-25,2017-08-28,2017-08-28,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05
B6036,,,,,,,,,,,,,,,,,,
I3372,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-07,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-11
B6040,Corte,Suaje,Serigrafia,Acabado,,,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-07,2017-09-07,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
H4100,Corte,Suaje,Serigrafia,Acabado,,,2017-08-23,2017-08-24,2017-08-24,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30
H4101,,,,,,,,,,,,,,,,,,
F1612,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-09-06,2017-09-07,2017-09-07,2017-09-11,2017-09-11,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-18,2017-09-18,2017-09-18
J1070,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-16,2017-08-17,2017-08-17,2017-08-18,2017-08-18,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-23,2017-08-23,2017-08-23
H4109,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-21,2017-08-22,2017-08-22,2017-08-24,2017-08-24,2017-08-25,2017-08-25,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-29
I3380,,,,,,,,,,,,,,,,,,
I3395,,,,,,,,,,,,,,,,,,
B6064R,,,,,,,,,,,,,,,,,,
G0904E1,,,,,,,,,,,,,,,,,,
L1006OT,Corte,Suaje,Serigrafia,,,,2017-08-23,2017-08-24,2017-08-24,2017-08-25,2017-08-25,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28,2017-08-28
K2707,Corte,Serigrafia,,,,,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
G0915,Corte,Digital,Acabado,,,,2017-09-04,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
B6090,Corte,Digital,Acabado,,,,2017-09-04,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-08,2017-09-08,2017-09-08,2017-09-08,2017-09-08,2017-09-08,2017-09-08
B6083,Corte,Serigrafia,Serigrafia,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-14,2017-09-14,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20
G0911,,,,,,,,,,,,,,,,,,
G0912,,,,,,,,,,,,,,,,,,
H4161,Corte,Serigrafia,Serigrafia,,,,2017-09-12,2017-09-13,2017-09-13,2017-09-19,2017-09-19,2017-09-25,2017-09-25,2017-09-25,2017-09-25,2017-09-25,2017-09-25,2017-09-25
G0913,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-09-08,2017-09-11,2017-09-11,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-18
B6091,,,,,,,,,,,,,,,,,,
H4167,,,,,,,,,,,,,,,,,,
H4193,,,,,,,,,,,,,,,,,,
H4194,,,,,,,,,,,,,,,,,,
G0860E1,,,,,,,,,,,,,,,,,,
M0618RT,,,,,,,,,,,,,,,,,,
B6086,Corte,Suaje,Serigrafia,Acabado,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
H4131,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-30,2017-08-31,2017-08-31,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-07,2017-09-07,2017-09-07
D2372,Corte,Suaje,Serigrafia,Digital,,,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19
H4134,Digital,Acabado,,,,,2017-09-05,2017-09-06,2017-09-06,2017-09-07,2017-09-07,2017-09-07,2017-09-07,2017-09-07,2017-09-07,2017-09-07,2017-09-07,2017-09-07
I3392,Corte,Laser,Suaje,Serigrafia,Acabado,,2017-08-25,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-01
B6064,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-29,2017-08-30,2017-08-30,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-07,2017-09-07,2017-09-07
H4135,,,,,,,,,,,,,,,,,,
F1622,,,,,,,,,,,,,,,,,,
